Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Main Tumhara,"A.R. Rahman, Jonita Gandhi, Hriday Gattani",7/29/20,"217,709",1,in,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5,0.236,0.14,-13.478,0.0343,0.916,0.000148,0.087,0.123,76.805,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Dil Bechara,A.R. Rahman,7/29/20,"131,215",2,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Taare Ginn,"A.R. Rahman, Mohit Chauhan, Shreya Ghoshal",7/29/20,"130,827",3,in,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY,0.365,0.402,-11.946,0.0493,0.774,0.000732,0.0869,0.358,131.815,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Shayad,"Pritam, Arijit Singh",7/29/20,"128,346",4,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Khulke Jeene Ka,"A.R. Rahman, Arijit Singh, Shashaa Tirupati",7/29/20,"122,811",5,in,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf,0.676,0.544,-10.893,0.0568,0.566,0,0.341,0.533,88.969,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
G.O.A.T.,Diljit Dosanjh,7/30/20,"229,092",1,in,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS,0.544,0.917,-3.403,0.259,0.00313,0,0.26,0.686,176.068,"['pop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'urban contemporary']"
Main Tumhara,"A.R. Rahman, Jonita Gandhi, Hriday Gattani",7/30/20,"199,704",2,in,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5,0.236,0.14,-13.478,0.0343,0.916,0.000148,0.087,0.123,76.805,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Clash,Diljit Dosanjh,7/30/20,"129,592",3,in,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo,0.693,0.593,-8.506,0.217,0.0187,1.09E-06,0.407,0.688,165.924,['vapor trap']
Shayad,"Pritam, Arijit Singh",7/30/20,"126,465",4,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Dil Bechara,A.R. Rahman,7/30/20,"121,565",5,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
G.O.A.T.,Diljit Dosanjh,7/31/20,"205,389",1,in,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS,0.544,0.917,-3.403,0.259,0.00313,0,0.26,0.686,176.068,"['pop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'urban contemporary']"
Main Tumhara,"A.R. Rahman, Jonita Gandhi, Hriday Gattani",7/31/20,"186,127",2,in,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5,0.236,0.14,-13.478,0.0343,0.916,0.000148,0.087,0.123,76.805,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Shayad,"Pritam, Arijit Singh",7/31/20,"126,653",3,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",7/31/20,"121,810",4,in,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,-8.52,0.0803,0.234,0,0.269,0.761,150.076,['nz pop']
Dil Bechara,A.R. Rahman,7/31/20,"115,316",5,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
