Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Blueberry Faygo,Lil Mosey,4/27/20,"1,225,850",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,4/27/20,"1,190,138",5,us,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/28/20,"2,338,202",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Righteous,Juice WRLD,4/28/20,"1,384,742",2,us,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,0.707,0.622,-6.951,0.031,0.0397,0,0.149,0.223,142.942,"['chicago rap', 'melodic rap']"
Toosie Slide,Drake,4/28/20,"1,270,790",3,us,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blueberry Faygo,Lil Mosey,4/28/20,"1,269,095",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
ROCKSTAR (feat. Roddy Ricch),DaBaby,4/28/20,"1,254,681",5,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/29/20,"2,177,421",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Righteous,Juice WRLD,4/29/20,"1,300,816",2,us,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,0.707,0.622,-6.951,0.031,0.0397,0,0.149,0.223,142.942,"['chicago rap', 'melodic rap']"
ROCKSTAR (feat. Roddy Ricch),DaBaby,4/29/20,"1,242,042",3,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
